level,llm,source,target,accuracy,f1_macro,trainable_params,use_reprogramming,two_stage,use_recon_aux
L3-Full,GPT-2,hhar,uci,0.885859226379201,0.8408725538280032,3084305,True,True,True
L3-Full,GPT-2,hhar,shoaib,0.662746454514009,0.5448169163053358,3084305,True,True,True
L3-Full,GPT-2,hhar,motionsense,0.7911651569673657,0.6975938653862587,3084305,True,True,True
L3-Full,GPT-2,hhar,hhar,0.9173001612531676,0.894534986802129,3084305,True,True,True
L3-Full,Qwen-0.5B,uci,uci,0.9095238095238096,0.8739084716082921,4170897,True,True,True
L3-Full,Qwen-0.5B,uci,shoaib,0.738498789346247,0.673003789697372,4170897,True,True,True
L3-Full,Qwen-0.5B,uci,motionsense,0.8317409107829755,0.6898250614756243,4170897,True,True,True
L3-Full,Qwen-0.5B,uci,hhar,0.7818575509075831,0.7286208253197592,4170897,True,True,True
L3-Full,Qwen-0.5B,shoaib,uci,0.6978440076093849,0.5866702288929034,4170897,True,True,True
L3-Full,Qwen-0.5B,shoaib,shoaib,0.8754325259515571,0.8513887195818794,4170897,True,True,True
L3-Full,Qwen-0.5B,shoaib,motionsense,0.7916614964635811,0.6845844512110534,4170897,True,True,True
L3-Full,Qwen-0.5B,shoaib,hhar,0.5875794711139777,0.4809614798867772,4170897,True,True,True
L3-Full,Qwen-0.5B,motionsense,uci,0.8579581483830057,0.8041339774139942,4170897,True,True,True
L3-Full,Qwen-0.5B,motionsense,shoaib,0.914562435143549,0.8982149176410202,4170897,True,True,True
L3-Full,Qwen-0.5B,motionsense,motionsense,0.9484792054624456,0.9032139721843392,4170897,True,True,True
L3-Full,Qwen-0.5B,motionsense,hhar,0.7540311434626371,0.6922680309561569,4170897,True,True,True
L3-Full,Qwen-0.5B,hhar,uci,0.896005072923272,0.8508227159193212,4170897,True,True,True
L3-Full,Qwen-0.5B,hhar,shoaib,0.6565202352127292,0.5728703893367568,4170897,True,True,True
L3-Full,Qwen-0.5B,hhar,motionsense,0.7693262191338875,0.6529307579432153,4170897,True,True,True
L3-Full,Qwen-0.5B,hhar,hhar,0.9265146279659064,0.905216206328202,4170897,True,True,True
L3-Full,Llama-1B,uci,uci,0.9047619047619048,0.8713021649244348,21317649,True,True,True
L3-Full,Llama-1B,uci,shoaib,0.786579038395019,0.7415992284753533,21317649,True,True,True
L3-Full,Llama-1B,uci,motionsense,0.7946395334408736,0.6594886869808623,21317649,True,True,True
L3-Full,Llama-1B,uci,hhar,0.764443011148991,0.7056009847144971,21317649,True,True,True
L3-Full,Llama-1B,shoaib,uci,0.7507926442612556,0.6382190603473958,21317649,True,True,True
L3-Full,Llama-1B,shoaib,shoaib,0.9290657439446368,0.9160676700144644,21317649,True,True,True
L3-Full,Llama-1B,shoaib,motionsense,0.8762873805683087,0.8075224431561121,21317649,True,True,True
L3-Full,Llama-1B,shoaib,hhar,0.607850363954667,0.492530803932259,21317649,True,True,True
L3-Full,Llama-1B,motionsense,uci,0.8449587824984147,0.7812398777573921,21317649,True,True,True
L3-Full,Llama-1B,motionsense,shoaib,0.8979591836734694,0.8788943631251176,21317649,True,True,True
L3-Full,Llama-1B,motionsense,motionsense,0.93544382371198,0.8656297839186353,21317649,True,True,True
L3-Full,Llama-1B,motionsense,hhar,0.7753155809453607,0.7155481730849582,21317649,True,True,True
L3-Full,Llama-1B,hhar,uci,0.8868103994927077,0.842623649957001,21317649,True,True,True
L3-Full,Llama-1B,hhar,shoaib,0.7087512971290211,0.6151800093149551,21317649,True,True,True
L3-Full,Llama-1B,hhar,motionsense,0.7553046283658023,0.6544299157161516,21317649,True,True,True
L3-Full,Llama-1B,hhar,hhar,0.9156876295784382,0.8909679089653016,21317649,True,True,True
L3-Full,Qwen-1.5B,uci,uci,0.9238095238095239,0.8958971618967609,12068369,True,True,True
L3-Full,Qwen-1.5B,uci,shoaib,0.8021445866482186,0.7575711202573544,12068369,True,True,True
L3-Full,Qwen-1.5B,uci,motionsense,0.857550564586177,0.7309833208685099,12068369,True,True,True
